Month,diet,gym,finance
2004-01,100,31,48
2004-02,74,26,49
2004-03,71,24,46
2004-04,71,22,47
2004-05,73,22,43
2004-06,65,23,44
2004-07,62,24,45
2004-08,58,27,43
2004-09,56,26,45
2004-10,53,24,43
2004-11,50,24,43
2004-12,43,24,41
2005-01,64,33,45
2005-02,55,28,47
2005-03,57,27,45
2005-04,55,25,44
2005-05,59,25,44
2005-06,54,25,44
2005-07,53,25,44
2005-08,51,28,44
2005-09,46,27,44
2005-10,47,26,44
2005-11,44,25,41
2005-12,39,25,39
2006-01,63,33,44
2006-02,52,28,44
2006-03,51,28,48
2006-04,50,26,46
2006-05,50,26,46
2006-06,53,25,44
2006-07,51,27,44
2006-08,50,30,45
2006-09,45,30,45
2006-10,43,27,46
2006-11,43,26,44
2006-12,37,26,41
2007-01,58,36,47
2007-02,49,33,49
2007-03,52,31,47
2007-04,52,31,47
2007-05,49,31,47
2007-06,48,31,48
2007-07,49,30,50
2007-08,44,32,53
2007-09,45,32,50
2007-10,43,28,52
2007-11,40,27,49
2007-12,35,27,43
2008-01,54,36,53
2008-02,46,30,51
2008-03,45,29,51
2008-04,48,28,52
2008-05,44,27,49
2008-06,43,27,50
2008-07,44,27,52
2008-08,44,31,48
2008-09,42,33,61
2008-10,42,28,73
2008-11,40,28,58
2008-12,36,27,52
2009-01,53,36,54
2009-02,46,30,58
2009-03,48,29,61
2009-04,50,29,58
2009-05,48,28,54
2009-06,46,28,54
2009-07,46,28,57
2009-08,48,30,57
2009-09,44,30,59
2009-10,44,28,56
2009-11,42,28,51
2009-12,39,27,47
2010-01,57,36,51
2010-02,51,31,53
2010-03,51,30,55
2010-04,51,29,56
2010-05,51,28,54
2010-06,48,29,52
2010-07,49,30,51
2010-08,48,32,51
2010-09,47,32,53
2010-10,45,28,50
2010-11,43,29,49
2010-12,40,28,46
2011-01,59,39,50
2011-02,53,33,50
2011-03,54,33,51
2011-04,58,31,49
2011-05,58,31,49
2011-06,53,32,48
2011-07,53,31,48
2011-08,51,33,58
2011-09,51,36,53
2011-10,49,33,49
2011-11,48,33,47
2011-12,44,31,41
2012-01,65,43,45
2012-02,57,37,47
2012-03,56,35,48
2012-04,57,34,45
2012-05,54,34,48
2012-06,54,35,45
2012-07,55,37,44
2012-08,54,37,45
2012-09,53,38,47
2012-10,47,35,46
2012-11,45,33,43
2012-12,42,33,39
2013-01,64,43,46
2013-02,57,38,47
2013-03,58,39,46
2013-04,60,37,47
2013-05,55,37,46
2013-06,55,37,44
2013-07,55,37,46
2013-08,52,40,46
2013-09,51,39,46
2013-10,48,38,48
2013-11,46,38,44
2013-12,42,36,40
2014-01,62,47,46
2014-02,53,42,47
2014-03,54,42,46
2014-04,54,41,47
2014-05,51,39,44
2014-06,50,39,44
2014-07,47,39,46
2014-08,46,41,45
2014-09,46,42,49
2014-10,44,38,48
2014-11,42,38,44
2014-12,39,38,42
2015-01,57,50,46
2015-02,47,44,47
2015-03,50,43,47
2015-04,51,42,47
2015-05,48,41,43
2015-06,48,42,45
2015-07,47,43,47
2015-08,46,43,48
2015-09,43,44,48
2015-10,41,41,45
2015-11,39,41,42
2015-12,37,41,40
2016-01,52,52,43
2016-02,48,46,46
2016-03,47,47,43
2016-04,49,46,44
2016-05,48,45,42
2016-06,44,46,45
2016-07,44,57,41
2016-08,45,53,41
2016-09,43,50,43
2016-10,40,44,41
2016-11,38,45,43
2016-12,36,44,39
2017-01,54,59,42
2017-02,57,51,44
2017-03,51,50,45
2017-04,48,48,41
2017-05,49,48,44
2017-06,47,50,42
2017-07,50,52,43
2017-08,47,51,44
2017-09,44,50,47
2017-10,44,47,46
2017-11,42,47,47
2017-12,40,46,51
2018-01,59,59,55
2018-02,53,52,49
2018-03,54,51,49
2018-04,57,50,47
2018-05,54,48,45
2018-06,51,50,44
2018-07,54,51,45
2018-08,51,51,46
2018-09,47,51,45
2018-10,45,46,48
2018-11,43,47,43
2018-12,42,47,40
2019-01,63,59,46
2019-02,52,52,47
2019-03,53,51,45
2019-04,54,48,45
2019-05,48,47,48
2019-06,48,51,46
2019-07,47,51,49
2019-08,45,51,56
2019-09,44,52,50
2019-10,42,47,51
2019-11,43,51,49
